@T,table
Created,2015-01-30 19:20
Author,HortonMachine library
date_format,yyyy-MM-dd HH:mm
@H,timestamp,value_209
ID, ,209
Type,Date,Double
Format,yyyy-MM-dd HH:mm
,1994-01-01 00:00,0
,1994-01-01 01:00,0
,1994-01-01 02:00,0
,1994-01-01 03:00,0
,1994-01-01 04:00,0
,1994-01-01 05:00,0
,1994-01-01 06:00,0
,1994-01-01 07:00,0
,1994-01-01 08:00,0.030241513
,1994-01-01 09:00,0.062754025
,1994-01-01 10:00,0.087436146
,1994-01-01 11:00,0.101803303
,1994-01-01 12:00,0.113342146
,1994-01-01 13:00,0.104664394
,1994-01-01 14:00,0.079127764
,1994-01-01 15:00,0.037944112
,1994-01-01 16:00,0
,1994-01-01 17:00,0
,1994-01-01 18:00,0
,1994-01-01 19:00,0
,1994-01-01 20:00,0
,1994-01-01 21:00,0
,1994-01-01 22:00,0
,1994-01-01 23:00,0
,1994-01-02 00:00,0
,1994-01-02 01:00,0
,1994-01-02 02:00,0
,1994-01-02 03:00,0
,1994-01-02 04:00,0
,1994-01-02 05:00,0
,1994-01-02 06:00,0
,1994-01-02 07:00,0
,1994-01-02 08:00,0.028592536
,1994-01-02 09:00,0.057953895
,1994-01-02 10:00,0.093954255
,1994-01-02 11:00,0.109747937
,1994-01-02 12:00,0.107975401
,1994-01-02 13:00,0.096229943
,1994-01-02 14:00,0.0705004
,1994-01-02 15:00,0.033546729
,1994-01-02 16:00,0
,1994-01-02 17:00,0
,1994-01-02 18:00,0
,1994-01-02 19:00,0
,1994-01-02 20:00,0
,1994-01-02 21:00,0
,1994-01-02 22:00,0
,1994-01-02 23:00,0
,1994-01-03 00:00,0
,1994-01-03 01:00,0
,1994-01-03 02:00,0
,1994-01-03 03:00,0
,1994-01-03 04:00,0
,1994-01-03 05:00,0
,1994-01-03 06:00,0
,1994-01-03 07:00,0
,1994-01-03 08:00,0.027195614
,1994-01-03 09:00,0.056529538
,1994-01-03 10:00,0.085004938
,1994-01-03 11:00,0.107450783
,1994-01-03 12:00,0.11345331
,1994-01-03 13:00,0.099441048
,1994-01-03 14:00,0.071694845
,1994-01-03 15:00,0.033309471
,1994-01-03 16:00,0
,1994-01-03 17:00,0
,1994-01-03 18:00,0
,1994-01-03 19:00,0
,1994-01-03 20:00,0
,1994-01-03 21:00,0
